name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
African stonechat	https://martinfrancois.github.io/bird-images/saxicola-torquatus-gauteng-south-africa-female-8.jpg	The African stonechat or common stonechat (Saxicola torquatus ) is a species of the Old World flycatcher family (Muscicapidae), inhabiting sub-Saharan Africa and adjacent regions. Like the other chats, it was long assigned to the thrush family (Turdidae), to which the chats are convergent. Its scientific name refer to its appearance and habitat and means ""collared rock-dweller"": Saxicola from Latin saxum (""rock"") + incola (""one who dwells in a place""), torquatus, Latin for ""collared"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Alpine accentor	https://martinfrancois.github.io/bird-images/prunella-collaris-erythropygia-28mount-jonen29.jpg	The alpine accentor (Prunella collaris ) is a small passerine bird in the family Prunellidae.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Alpine Chough	https://martinfrancois.github.io/bird-images/1620px-alpine-chough-pyrrhocorax-graculus-14302012087jpg.jpg	The Alpine chough, or yellow-billed chough (Pyrrhocorax graculus ) is a bird in the crow family, one of only two species in the genus Pyrrhocorax. Its two subspecies breed in high mountains from Spain eastwards through southern Europe and North Africa to Central Asia and Nepal, and it may nest at a higher altitude than any other bird. The eggs have adaptations to the thin atmosphere that improve oxygen take-up and reduce water loss.	1-2.5 mln	23	0	188-252 g	37-39 cm	75-85 cm	Europe, Asia, Africa	Omnivore	Altitudinal Migrant	-	Stable	Least concern (LC)	14-21 days
Alpine swift	https://martinfrancois.github.io/bird-images/2560px-alpine-swift-at-koytendag2c-se-turkmenistan-.jpg	The alpine swift (Tachymarptis melba ) formerly Apus melba, is a species of swift found in Africa, southern Europe and Asia. They breed in mountains from southern Europe to the Himalaya. Like common swifts, they are migratory; the southern European population winters further south in southern Africa. They have very short legs which are used for clinging to vertical surfaces. Like most swifts, they never settle voluntarily on the ground, spending most of their lives in the air living on the insects they catch in their beaks.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Aquatic warbler	https://martinfrancois.github.io/bird-images/aquatic-warbler-28acrocephalus-paludicola29-02.jpg	The aquatic warbler (Acrocephalus paludicola ) is an Old World warbler in the genus Acrocephalus. It breeds in temperate eastern Europe and western Asia, with an estimated population of 11,000-15,000 pairs. It is migratory, wintering in west Africa. After many years of uncertainty, the wintering grounds of much of the European population were finally discovered in Djoudj National Bird Sanctuary, Senegal, with between 5,000 and 10,000 birds present at this single site. Its south-westerly migration route means that it is regular on passage as far west as Great Britain and Ireland.	Unknown	0	0	-	-	-	Europe, Africa	-	Migrating	-	Decreasing	Vulnerable (VU)	-
Baillon's crake	https://martinfrancois.github.io/bird-images/baillon27s-crake-28porzana-pusilla29-284995345898329.jpg	Baillon's crake (Zapornia pusilla ), also known as the marsh crake, is a small waterbird of the family Rallidae.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Unknown	Least concern (LC)	-
Bar-Tailed Godwit	https://martinfrancois.github.io/bird-images/9S6yOfY2veav0V0fZkIt.jpg	The bar-tailed godwit (Limosa lapponica ) is a large wader in the family Scolopacidae, which feeds on bristle-worms and shellfish on coastal mudflats and estuaries. It has distinctive red breeding plumage, long legs, and a long upturned bill. Bar-tailed godwits breed on Arctic coasts and tundra from Scandinavia to Alaska, and overwinter on coasts in temperate and tropical regions of the Old World, Australia, and New Zealand. The migration of the subspecies Limosa lapponica baueri across the Pacific Ocean from Alaska to New Zealand is the longest known non-stop flight of any bird, and also the longest journey without pausing to feed by any animal. The round-trip migration for this subspecies is over 29,000�km (18,020�mi).	1.1 mln	30	56	190-630 g	37-41 cm	70-80 cm	North America, Europe, Asia, Africa, Oceania	Carnivore	Migrating	1 month	Decreasing	Near Threatened (NT)	20-22 days
Barn Owl	https://martinfrancois.github.io/bird-images/barn-owl-tyto-alba.jpg	The Barn owl (Tyto alba) is the most widely distributed species of owl in the world and one of the most widespread of all species of birds. It is found almost everywhere in the world except for the polar and desert regions, Asia north of the Himalayas, most of Indonesia, and some Pacific Islands. This owl does not hoot but utters an eerie, drawn-out screech.	4-9.9 mln	34	0	224-710 g	29-44 cm	68-105 cm	Europe, Asia, Africa, Oceania, North America, South America	Carnivore	Not a migrant	13 weeks	Stable	Least concern (LC)	30 days
Barn Swallow	https://martinfrancois.github.io/bird-images/barn-swallow-hirundo-rustica-2019-07-16-2.jpg	The Barn swallow (Hirundo rustica) is the most widespread species of swallow in the world. In fact, it has the largest natural distribution of any of the world's passerines, ranging over 251 million square kilometers globally. In Anglophone Europe it is just called the swallow; in northern Europe, it is the only common species called a ""swallow"" rather than a ""martin"".	290-487 mln	8	74	16-22 g	17-19 cm	32-34.5 cm	Europe, Asia, Africa, Oceania, North America, South America	Carnivore,  Insectivores	Migrating	25-30 days	Decreasing	Least concern (LC)	14-19 days
Barnacle Goose	https://martinfrancois.github.io/bird-images/ZBh25YGZxYT7g3vS3FEc.jpg	The barnacle goose (Branta leucopsis ) is a species of goose that belongs to the genus Branta of black geese, which contains species with largely black plumage, distinguishing them from the grey Anser species. Despite its superficial similarity to the brant goose, genetic analysis has shown it is an eastern derivative of the cackling goose lineage.	880,000	24	95	1-2 kg	55-70 cm	130-145 cm	North America, Europe, Asia	Herbivore,  Folivore,  Graminivore	Migrating	40-45 days	Increasing	Least concern (LC)	24-26 days
